[2022-07-31 16:09:51]	第一行日志
[2022-07-31 16:09:58]	第二行日志
[2022-07-31 16:23:53]	登录成功
[2022-07-31 16:24:30]	登录失败，预期结果101，实际结果用户中心
[2022-07-31 16:25:10]	登录失败，预期结果"101"，实际结果"用户中心"
[2022-07-31 16:25:52]	登录成功
[2022-07-31 21:31:06]	登录失败，预期结果:"101"，实际结果:"用户中心"
[2022-08-01 17:18:24]	购物流程1测试完成，测试通过
[2022-08-01 20:40:14]	购物流程1测试完成，测试通过
[2022-08-03 15:10:28]	购物流程2测试完成，测试通过
[2022-08-03 15:11:47]	购物流程3测试完成，测试通过
[2022-08-03 16:21:23]	购物流程取消测试完成，测试通过
[2022-08-06 14:21:16]	购物流程取消测试完成，测试通过
[2022-08-06 14:55:03]	购物流程1测试完成，测试通过
[2022-08-06 15:32:30]	购物流程3 测试失败，测试未通过
[2022-08-06 15:54:08]	购物流程3 测试失败，测试未通过
[2022-08-06 15:58:48]	购物流程3 测试失败，测试未通过
[2022-08-06 16:42:03]	购物流程1 测试完成，测试通过
[2022-08-06 16:43:31]	购物流程2 测试失败，测试未通过
[2022-08-06 16:45:05]	购物流程3 测试失败，测试未通过
[2022-08-06 16:45:55]	DBshop004_购物流程取消 执行出错
[2022-08-06 16:51:49]	购物流程2 测试失败，测试未通过
[2022-08-06 17:02:57]	购物流程取消 测试完成，测试通过
[2022-08-06 18:56:30]	购物流程取消 测试完成，测试通过
[2022-08-06 19:39:48]	订单管理删除订单 测试失败，测试未通过
[2022-08-06 19:42:45]	DBshop006_订单管理删除订单测试失败，测试未通过
[2022-08-06 19:43:30]	DBshop006_订单管理删除订单测试成功，测试通过
[2022-08-06 20:00:48]	1594531607860011测试成功，测试通过
[2022-08-06 20:03:59]	DBshop005_订单管理查询测试成功，测试通过
[2022-08-08 10:34:22]	DBshop007_销售管理发货单 测试未通过
[2022-08-08 10:35:38]	DBshop007_销售管理发货单 测试未通过
[2022-08-08 10:38:58]	DBshop007_销售管理发货单 测试未通过
[2022-08-08 10:40:36]	DBshop007_销售管理发货单 测试未通过
[2022-08-08 10:43:13]	DBshop007_销售管理发货单 测试通过
[2022-08-08 11:50:05]	退货测试通过
[2022-08-08 14:02:49]	DBshop011_商品管理管理商品添加商品 测试通过
[2022-08-08 15:42:10]	DBshop013_分类编辑 测试通过
[2022-08-08 15:50:08]	DBshop013_分类编辑 测试通过
[2022-08-08 16:12:53]	DBshop014_删除分类 测试通过
[2022-08-08 16:15:03]	DBshop014_删除分类 测试通过
[2022-08-08 16:19:09]	DBshop014_删除分类 测试通过
[2022-08-08 16:20:51]	DBshop014_删除分类 测试未通过
[2022-08-08 16:21:34]	DBshop014_删除分类 测试未通过
[2022-08-08 16:24:05]	DBshop014_删除分类 测试未通过
[2022-08-08 16:26:41]	DBshop014_删除分类 测试未通过
[2022-08-08 16:29:39]	DBshop014_删除分类 测试未通过
[2022-08-08 16:31:07]	DBshop014_删除分类 测试未通过
[2022-08-08 16:31:51]	DBshop014_删除分类 测试未通过
[2022-08-08 16:35:42]	DBshop014_删除分类 测试未通过
[2022-08-08 16:38:21]	DBshop014_删除分类 测试未通过
[2022-08-08 16:55:14]	网站很好看 测试未通过
[2022-08-08 16:56:42]	DBshop015_添加侧边设置 测试未通过
[2022-08-08 16:57:34]	DBshop015_添加侧边设置 测试通过
[2022-08-08 17:03:54]	DBshop016_删除侧边设置 测试未通过
[2022-08-08 17:04:56]	DBshop016_删除侧边设置 测试通过
[2022-08-08 17:25:50]	好好学习 测试通过
[2022-08-08 18:19:06]	DBshop018_删除属性组 测试通过
[2022-08-08 18:27:14]	DBshop017_添加属性组 测试通过
[2022-08-08 18:28:50]	DBshop019_添加属性 测试通过
[2022-08-08 18:32:21]	DBshop020_删除属性 测试通过
[2022-08-08 18:37:53]	DBshop021_添加品牌 测试未通过
[2022-08-08 18:40:15]	DBshop021_添加品牌 测试未通过
[2022-08-08 18:40:32]	DBshop021_添加品牌 测试通过
[2022-08-08 18:44:58]	DBshop022_删除品牌 测试通过
[2022-08-08 19:29:16]	DBshop023_编辑商品管理商品评价 测试通过
[2022-08-08 19:52:59]	DBshop024_删除商品管理商品评价 测试未通过
[2022-08-08 19:54:33]	DBshop024_删除商品管理商品评价 测试通过
[2022-08-09 11:08:05]	DBshop025_商品咨询回复 测试未通过
[2022-08-09 11:11:36]	DBshop025_商品咨询回复 测试未通过
[2022-08-09 11:12:51]	DBshop025_商品咨询回复 测试未通过
[2022-08-09 11:44:59]	DBshop025_商品咨询回复 测试通过
[2022-08-09 13:20:44]	DBshop025_商品咨询回复 测试通过
[2022-08-09 13:28:15]	DBshop025_商品咨询回复 测试未通过
[2022-08-09 13:29:28]	DBshop026_商品咨询删除 测试未通过
[2022-08-09 13:30:35]	DBshop026_商品咨询删除 测试未通过
[2022-08-09 13:31:32]	DBshop026_商品咨询删除 测试未通过
[2022-08-09 13:32:37]	DBshop026_商品咨询删除 测试未通过
[2022-08-09 13:33:23]	DBshop026_商品咨询删除 测试未通过
[2022-08-09 13:34:18]	DBshop026_商品咨询删除 测试未通过
[2022-08-09 13:35:22]	DBshop026_商品咨询删除 测试未通过
[2022-08-09 13:38:08]	DBshop026_商品咨询删除 测试未通过
[2022-08-09 13:38:57]	DBshop026_商品咨询删除 测试未通过
[2022-08-09 13:53:47]	DBshop027_新增标签组 测试通过
[2022-08-09 13:59:07]	DBshop028_删除标签组 测试通过
[2022-08-09 14:01:31]	DBshop028_删除标签组 测试通过
[2022-08-09 14:10:48]	DBshop029_新增普通商品标签 测试通过
[2022-08-09 14:15:41]	DBshop027_新增标签组 测试通过
[2022-08-09 14:23:09]	DBshop030_编辑普通商品标签 测试通过
[2022-08-09 14:45:50]	DBshop031_编辑特定商品标签 测试未通过
[2022-08-09 14:49:32]	DBshop031_编辑特定商品标签 测试未通过
[2022-08-09 14:52:41]	DBshop031_编辑特定商品标签 测试未通过
[2022-08-09 14:53:29]	DBshop031_编辑特定商品标签 测试通过
[2022-08-09 14:57:46]	DBshop032_删除特定标签 测试未通过
[2022-08-09 14:58:19]	DBshop032_删除特定标签 测试通过
[2022-08-09 15:11:49]	DBshop033_点击更新商品索引 测试未通过
[2022-08-09 15:14:49]	DBshop033_点击更新商品索引 测试通过
[2022-08-09 15:36:55]	DBshop033_点击更新商品索引 测试通过
[2022-08-09 15:58:52]	DBshop034_余额调整 测试未通过
[2022-08-09 16:00:30]	DBshop034_余额调整 测试通过
[2022-08-09 16:08:31]	DBshop035_积分调整 测试通过
[2022-08-09 16:30:23]	DBshop036_添加客户扩展信息 测试通过
[2022-08-09 16:35:54]	DBshop037_删除客户扩展信息 测试通过
[2022-08-10 11:35:51]	DBshop001_购物流程1 执行出错
[2022-08-10 13:37:58]	购物流程1 测试通过
[2022-08-10 13:39:20]	购物流程2 测试通过
[2022-08-10 13:39:30]	DBshop002_购物流程2 执行出错
[2022-08-10 13:41:16]	购物流程3 测试未通过
[2022-08-10 13:41:26]	DBshop003_购物流程3 执行出错
[2022-08-10 13:41:41]	DBshop004_购物流程取消 执行出错
[2022-08-10 13:42:01]	DBshop005_订单管理查询 执行出错
[2022-08-10 13:42:11]	DBshop006_订单管理删除订单 执行出错
[2022-08-10 13:42:14]	DBshop007_销售管理发货单 执行出错
[2022-08-10 15:48:12]	DBshop001_购物流程1 测试通过
[2022-08-10 15:50:33]	购物流程2 测试通过
[2022-08-10 15:59:27]	购物流程取消 测试通过
[2022-08-10 16:02:52]	1
[2022-08-10 16:07:08]	购物流程取消 测试通过
[2022-08-10 16:10:13]	1
[2022-08-10 17:27:40]	1
[2022-08-10 17:28:27]	2
[2022-08-10 17:35:15]	2
[2022-08-10 17:37:09]	购物流程取消 测试通过
[2022-08-10 17:44:01]	14132
[2022-08-10 17:46:32]	购物流程取消 测试通过
[2022-08-10 17:53:16]	购物流程取消 测试通过
[2022-08-10 18:03:35]	DBshop036_添加客户扩展信息 测试通过
